eps,size,balance,noise,cost,timespan,better,base_cost,base_timespan
0.5,20,0.1,0.0,165.04,16.694,True,250.0,24.0
0.5,20,0.1,0.15,227.17,21.805,True,258.33,24.583
0.5,20,0.1,0.3,276.49,26.537,False,266.65,25.36
0.5,20,0.1,0.45,334.15,30.901,False,275.24,25.967
0.5,20,0.1,0.6,371.3,35.304,False,287.5,26.88
0.5,20,0.5,0.0,126.16,12.081,True,210.0,20.0
0.5,20,0.5,0.15,172.5,16.274,True,219.56,20.53
0.5,20,0.5,0.3,227.46,21.764,False,227.39,21.209
0.5,20,0.5,0.45,266.76,25.125,False,235.15,21.744
0.5,20,0.5,0.6,319.7,29.822,False,241.5,22.4
0.5,20,0.9,0.0,112.51,10.636,True,170.0,16.0
0.5,20,0.9,0.15,138.11,13.423,True,176.72,16.332
0.5,20,0.9,0.3,166.26,15.201,True,182.97,16.685
0.5,20,0.9,0.45,214.96,19.519,False,191.55,17.277
0.5,20,0.9,0.6,254.01,22.97,False,195.5,17.919
0.5,40,0.1,0.0,221.72,19.354,True,310.0,27.0
0.5,40,0.1,0.15,288.83,24.899,True,320.08,27.707
0.5,40,0.1,0.3,350.47,30.449,False,330.32,28.549
0.5,40,0.1,0.45,414.44,35.175,False,342.65,29.362
0.5,40,0.1,0.6,469.58,39.982,False,356.5,30.239
0.5,40,0.5,0.0,187.51,15.77,True,270.0,23.0
0.5,40,0.5,0.15,242.2,20.217,True,281.01,23.607
0.5,40,0.5,0.3,302.7,25.556,False,290.47,24.38
0.5,40,0.5,0.45,360.47,29.951,False,300.08,25.059
0.5,40,0.5,0.6,405.34,33.763,False,310.5,25.76
0.5,40,0.9,0.0,161.98,13.294,True,230.0,19.0
0.5,40,0.9,0.15,204.08,16.764,True,238.36,19.5
0.5,40,0.9,0.3,245.22,19.819,True,247.51,20.018
0.5,40,0.9,0.45,290.76,23.333,False,257.14,20.59
0.5,40,0.9,0.6,339.1,27.142,False,264.5,21.279
0.5,60,0.1,0.0,267.18,21.53,True,370.0,30.0
0.5,60,0.1,0.15,343.85,27.91,True,383.22,30.965
0.5,60,0.1,0.3,423.82,33.775,False,399.54,31.909
0.5,60,0.1,0.45,504.3,40.396,False,410.77,32.649
0.5,60,0.1,0.6,585.99,46.616,False,425.51,33.601
0.5,60,0.5,0.0,240.24,18.912,True,330.0,26.0
0.5,60,0.5,0.15,313.36,24.785,True,340.93,26.866
0.5,60,0.5,0.3,373.26,29.123,False,356.36,27.616
0.5,60,0.5,0.45,429.0,33.207,False,367.73,28.323
0.5,60,0.5,0.6,506.53,39.297,False,379.5,29.119
0.5,60,0.9,0.0,215.07,16.114,True,290.0,22.0
0.5,60,0.9,0.15,265.04,20.215,True,299.25,22.673
0.5,60,0.9,0.3,317.34,23.47,False,310.34,23.258
0.5,60,0.9,0.45,364.9,26.889,False,323.89,24.04
0.5,60,0.9,0.6,419.8,31.177,False,333.5,24.641
0.5,80,0.1,0.0,324.64,24.769,True,430.0,33.0
0.5,80,0.1,0.15,409.17,31.122,True,444.27,34.022
0.5,80,0.1,0.3,497.21,37.937,False,460.44,35.013
0.5,80,0.1,0.45,583.82,43.925,False,477.82,36.098
0.5,80,0.1,0.6,671.1,50.019,False,494.5,36.959
0.5,80,0.5,0.0,305.36,22.694,True,390.0,29.0
0.5,80,0.5,0.15,381.19,28.548,True,403.15,29.852
0.5,80,0.5,0.3,451.91,33.246,False,418.04,30.755
0.5,80,0.5,0.45,532.17,39.021,False,431.3,31.664
0.5,80,0.5,0.6,583.56,42.328,False,448.5,32.48
0.5,80,0.9,0.0,263.75,18.688,True,350.0,25.0
0.5,80,0.9,0.15,333.19,23.797,True,361.27,25.839
0.5,80,0.9,0.3,402.76,28.542,False,375.74,26.638
0.5,80,0.9,0.45,443.85,30.977,False,388.9,27.285
0.5,80,0.9,0.6,505.66,35.262,False,402.5,28.0
0.5,100,0.1,0.0,367.4,26.992,True,490.0,36.0
0.5,100,0.1,0.15,466.14,33.829,True,506.71,37.213
0.5,100,0.1,0.3,566.49,41.282,False,526.89,38.288
0.5,100,0.1,0.45,670.68,48.755,False,545.58,39.439
0.5,100,0.1,0.6,772.55,55.879,False,563.5,40.32
0.5,100,0.5,0.0,359.24,25.891,True,450.0,32.0
0.5,100,0.5,0.15,451.58,32.782,True,463.84,33.02
0.5,100,0.5,0.3,526.81,37.294,False,482.53,33.959
0.5,100,0.5,0.45,613.65,42.658,False,497.59,34.954
0.5,100,0.5,0.6,674.5,46.535,False,517.5,35.84
0.5,100,0.9,0.0,310.32,21.331,True,410.0,28.0
0.5,100,0.9,0.15,400.93,26.836,True,422.54,29.01
0.5,100,0.9,0.3,479.1,32.774,False,439.43,29.925
0.5,100,0.9,0.45,516.7,35.097,False,455.07,30.667
0.5,100,0.9,0.6,592.59,39.268,False,471.5,31.361
1.5,20,0.1,0.0,168.9,16.522,True,250.0,24.0
1.5,20,0.1,0.15,192.56,18.136,True,258.33,24.583
1.5,20,0.1,0.3,239.93,23.271,True,266.65,25.36
1.5,20,0.1,0.45,268.83,26.041,True,275.24,25.967
1.5,20,0.1,0.6,301.06,27.385,False,287.5,26.88
1.5,20,0.5,0.0,130.96,12.365,True,210.0,20.0
1.5,20,0.5,0.15,156.6,14.789,True,219.56,20.53
1.5,20,0.5,0.3,194.92,18.09,True,227.39,21.209
1.5,20,0.5,0.45,226.97,20.816,True,235.15,21.744
1.5,20,0.5,0.6,260.54,24.097,False,241.5,22.4
