eps,size,balance,noise,disruptions,timespan,base_disruptions,base_timespan,better
0.5,20,0.9,0.0,1.94,9.147,3.15,15.0,True
0.5,20,0.9,0.15,2.98,12.952,3.6,15.225,True
0.5,20,0.9,0.3,4.22,15.728,4.05,15.45,False
0.5,20,0.9,0.45,5.38,18.647,4.5,15.675,False
0.5,20,0.9,0.6,6.54,20.989,4.95,15.9,False
0.5,20,0.5,0.0,2.2,8.695,3.75,15.0,True
0.5,20,0.5,0.15,3.42,12.597,4.2,15.225,True
0.5,20,0.5,0.3,4.72,15.786,4.65,15.45,False
0.5,20,0.5,0.45,5.88,18.507,5.1,15.675,False
0.5,20,0.5,0.6,7.41,21.214,5.55,15.9,False
0.5,20,0.1,0.0,2.77,10.141,4.35,15.0,True
0.5,20,0.1,0.15,4.23,13.452,4.8,15.225,True
0.5,20,0.1,0.3,5.54,16.347,5.25,15.45,False
0.5,20,0.1,0.45,7.0,18.78,5.7,15.675,False
0.5,20,0.1,0.6,8.19,21.264,6.15,15.9,False
0.5,40,0.9,0.0,2.64,10.455,4.15,17.4,True
0.5,40,0.9,0.15,3.97,14.802,4.87,17.685,True
0.5,40,0.9,0.3,5.63,18.304,5.59,17.97,False
0.5,40,0.9,0.45,7.4,21.632,6.31,18.255,False
0.5,40,0.9,0.6,9.42,24.417,7.03,18.54,False
0.5,40,0.5,0.0,2.86,10.541,4.75,17.4,True
0.5,40,0.5,0.15,4.54,14.308,5.47,17.685,True
0.5,40,0.5,0.3,6.3,18.371,6.19,17.97,False
0.5,40,0.5,0.45,8.12,21.139,6.91,18.255,False
0.5,40,0.5,0.6,10.17,25.038,7.63,18.54,False
0.5,40,0.1,0.0,3.51,11.539,5.35,17.4,True
0.5,40,0.1,0.15,5.61,15.432,6.07,17.685,True
0.5,40,0.1,0.3,7.01,19.247,6.79,17.97,False
0.5,40,0.1,0.45,9.05,21.667,7.51,18.255,False
0.5,40,0.1,0.6,10.97,25.214,8.23,18.54,False
0.5,60,0.9,0.0,3.12,11.715,5.15,19.8,True
0.5,60,0.9,0.15,4.98,16.959,6.14,20.145,True
0.5,60,0.9,0.3,7.16,20.349,7.13,20.49,False
0.5,60,0.9,0.45,9.57,24.248,8.12,20.835,False
0.5,60,0.9,0.6,12.22,28.444,9.11,21.18,False
0.5,60,0.5,0.0,3.39,11.658,5.75,19.8,True
0.5,60,0.5,0.15,5.43,16.656,6.74,20.145,True
0.5,60,0.5,0.3,7.93,20.987,7.73,20.49,False
0.5,60,0.5,0.45,10.26,24.62,8.72,20.835,False
0.5,60,0.5,0.6,12.98,29.008,9.71,21.18,False
0.5,60,0.1,0.0,4.23,12.823,6.35,19.8,True
0.5,60,0.1,0.15,6.41,17.891,7.34,20.145,True
0.5,60,0.1,0.3,8.82,21.625,8.33,20.49,False
0.5,60,0.1,0.45,11.39,25.61,9.32,20.835,False
0.5,60,0.1,0.6,13.76,29.024,10.31,21.18,False
0.5,80,0.9,0.0,3.79,13.719,6.15,22.2,True
0.5,80,0.9,0.15,5.94,18.704,7.41,22.605,True
0.5,80,0.9,0.3,8.88,23.45,8.67,23.01,False
0.5,80,0.9,0.45,11.57,27.349,9.93,23.415,False
0.5,80,0.9,0.6,14.54,31.826,11.19,23.82,False
0.5,80,0.5,0.0,4.07,12.785,6.75,22.2,True
0.5,80,0.5,0.15,6.54,19.024,8.01,22.605,True
0.5,80,0.5,0.3,9.43,23.239,9.27,23.01,False
0.5,80,0.5,0.45,12.46,27.324,10.53,23.415,False
0.5,80,0.5,0.6,15.61,32.017,11.79,23.82,False
0.5,80,0.1,0.0,4.72,14.561,7.35,22.2,True
0.5,80,0.1,0.15,7.44,19.611,8.61,22.605,True
0.5,80,0.1,0.3,10.62,24.558,9.87,23.01,False
0.5,80,0.1,0.45,13.41,28.098,11.13,23.415,False
