eps,size,balance,noise,cost,timespan,base_cost,base_timespan,better
0.5,20,0.1,0.0,165.04,16.694,250.0,24.0,True
0.5,20,0.1,0.15,227.17,21.805,258.33,24.583,True
0.5,20,0.1,0.3,276.49,26.537,266.65,25.36,False
0.5,20,0.1,0.45,334.15,30.901,275.24,25.967,False
0.5,20,0.1,0.6,371.3,35.304,287.5,26.88,False
0.5,20,0.5,0.0,126.16,12.081,210.0,20.0,True
0.5,20,0.5,0.15,172.5,16.274,219.56,20.53,True
0.5,20,0.5,0.3,227.46,21.764,227.39,21.209,False
0.5,20,0.5,0.45,266.76,25.125,235.15,21.744,False
0.5,20,0.5,0.6,319.7,29.822,241.5,22.4,False
0.5,20,0.9,0.0,112.51,10.636,170.0,16.0,True
0.5,20,0.9,0.15,138.11,13.423,176.72,16.332,True
0.5,20,0.9,0.3,166.26,15.201,182.97,16.685,True
0.5,20,0.9,0.45,214.96,19.519,191.55,17.277,False
0.5,20,0.9,0.6,254.01,22.97,195.5,17.919,False
0.5,40,0.1,0.0,221.72,19.354,310.0,27.0,True
0.5,40,0.1,0.15,288.83,24.899,320.08,27.707,True
0.5,40,0.1,0.3,350.47,30.449,330.32,28.549,False
0.5,40,0.1,0.45,414.44,35.175,342.65,29.362,False
0.5,40,0.1,0.6,469.58,39.982,356.5,30.239,False
0.5,40,0.5,0.0,187.51,15.77,270.0,23.0,True
0.5,40,0.5,0.15,242.2,20.217,281.01,23.607,True
0.5,40,0.5,0.3,302.7,25.556,290.47,24.38,False
0.5,40,0.5,0.45,360.47,29.951,300.08,25.059,False
0.5,40,0.5,0.6,405.34,33.763,310.5,25.76,False
0.5,40,0.9,0.0,161.98,13.294,230.0,19.0,True
0.5,40,0.9,0.15,204.08,16.764,238.36,19.5,True
0.5,40,0.9,0.3,245.22,19.819,247.51,20.018,True
0.5,40,0.9,0.45,290.76,23.333,257.14,20.59,False
0.5,40,0.9,0.6,339.1,27.142,264.5,21.279,False
